metric,value
pedca_enabled,1
split_stas_across_links,0
distribute_pedca_across_links,1
enable_ul,1
enable_dl,0
stas_link0_target,10
stas_link1_target,0
flows_considered,8
aggregate_throughput_mbps,317.689283
dl_throughput_mbps,0.000000
delay_samples_present,1
jitter_samples_present,1
completion_samples_present,1
tx_packets,3628091
rx_packets,3627965
lost_packets,15
delay_samples,3627965
delay_p50_ms,3.000000
delay_p90_ms,7.000000
delay_p95_ms,9.000000
delay_p99_ms,15.000000
delay_p99_9_ms,23.000000
ul_delay_p50_ms,3.000000
ul_delay_p90_ms,7.000000
ul_delay_p95_ms,9.000000
ul_delay_p99_ms,15.000000
ul_delay_p99_9_ms,23.000000
dl_delay_p50_ms,0.000000
dl_delay_p90_ms,0.000000
dl_delay_p95_ms,0.000000
dl_delay_p99_ms,0.000000
dl_delay_p99_9_ms,0.000000
delay_over_10ms_packets,108131
delay_over_20ms_packets,6959
jitter_samples,3627957
jitter_p50_ms,1.000000
jitter_p90_ms,1.000000
jitter_p95_ms,1.000000
jitter_p99_ms,2.000000
jitter_p99_9_ms,8.000000
ul_jitter_p50_ms,1.000000
ul_jitter_p90_ms,1.000000
ul_jitter_p95_ms,1.000000
ul_jitter_p99_ms,2.000000
ul_jitter_p99_9_ms,8.000000
dl_jitter_p50_ms,0.000000
dl_jitter_p90_ms,0.000000
dl_jitter_p95_ms,0.000000
dl_jitter_p99_ms,0.000000
dl_jitter_p99_9_ms,0.000000
flow_completion_p50_ms,99790.756000
flow_completion_p90_ms,99799.408057
flow_completion_p95_ms,99799.408057
flow_completion_p99_ms,99799.408057
flow_completion_p99_9_ms,99799.408057
retrans_ratio_p50,0.000002
retrans_ratio_p90,1.000000
retrans_ratio_p95,1.000000
retrans_ratio_p99,1.000000
retrans_ratio_p99_9,1.000000
vo_mac_tx_data_failed,497521
vo_mac_tx_final_data_failed,484
vo_mac_tx_rts_failed,13138
vo_mac_tx_data_failed_rate,0.137130
vo_mac_tx_final_data_failed_rate,0.000133
vo_mac_tx_rts_failed_rate,0.003621
vo_channel_access_delay_p50_ms,1.425000
vo_channel_access_delay_p90_ms,120.001000
vo_channel_access_delay_p95_ms,120.001000
vo_channel_access_delay_p99_ms,120.001000
vo_channel_access_delay_p99_9_ms,120.001000
vo_queue_delay_p50_ms,4.265000
vo_queue_delay_p90_ms,12.719000
vo_queue_delay_p95_ms,13.261000
vo_queue_delay_p99_ms,14.887000
vo_queue_delay_p99_9_ms,14.887000
vo_queue_depth_mean_packets,0.000138
vo_queue_depth_max_packets,1
vo_queue_drop_packets,0
vo_queue_drop_before_enqueue_packets,0
vo_queue_expired_drop_packets,0
